ts_iso,gps_lat,gps_lon,gps_ts,awa_deg,wind_spd,ch1_pwr,ch1_cur,ch2_pwr,ch2_cur,ch3_pwr,ch3_cur,heading,rotation_vector,geomag_rotation_vector,gyro_z_dps,heading_source,mode,auto_mode,wp_left,dist_m,brg_deg,err_deg,rudder_deg,sail_deg,thr_us,fix_q,awa_raw_deg,twd_deg,twa_deg,tws_mps,sail_state,sail_fault,sail_reason,beating,tacked,tack,xte_m,des_hdg_deg,motor_assist,propulsion,sailing,settled,session,sys_temp_c,sys_volts_v
2026-08-19T15:27:59.292027+00:00,,,,,,,,,,,,263.38848770067375,279.93038946380705,263.3884877006737,0.11,rm3100_calibrated,MANUAL,,,,,,-1.9499902500487498,9.000900090009,1500,0,,,,,,,,,,,,,,sail,False,False,20260819_172759,62.8,0.936
2026-08-19T15:27:59.416076+00:00,47.69572850383334,9.194015516666667,,,,-0.08965120000000001,-0.0068000000000000005,0.005273600000000001,0.0004,0.7009632,0.0532,263.4470935423835,279.93038946380705,270.6027161551338,0.78,rm3100_calibrated,MANUAL,,,,,,-1.9499902500487498,9.000900090009,1500,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,63.3,0.936
2026-08-19T15:27:59.527816+00:00,47.69572850383334,9.194015516666667,2026-08-19T15:42:43+00:00,,,-0.08437760000000001,-0.0064,-0.026384,-0.002,0.7220448,0.0548,264.7922153368637,279.93038946380705,268.6592313122235,0.56,rm3100_calibrated,MANUAL,,,,,,-1.9499902500487498,9.000900090009,1495,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,62.8,0.936
2026-08-19T15:27:59.639795+00:00,47.69572850383334,9.194015516666667,2026-08-19T15:42:43+00:00,,,-0.105408,-0.008,0.1264896,0.009600000000000001,0.7694784,0.0584,266.19448359234684,279.93038946380705,271.954547446763,-0.67,rm3100_calibrated,MANUAL,,,,,,-1.64999175004125,9.000900090009,1495,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,63.3,0.936
2026-08-19T15:27:59.750202+00:00,47.69572850383334,9.194015516666667,2026-08-19T15:42:43+00:00,,,-0.08437760000000001,-0.0064,0.021094400000000003,0.0016,0.794864,0.0604,267.47440801684024,280.32575379319155,274.0415654129051,-2.13,rm3100_calibrated,MANUAL,,,,,,-1.64999175004125,9.000900090009,1500,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,62.8,0.936
2026-08-19T15:27:59.861001+00:00,47.69572850383334,9.194015516666667,2026-08-19T15:42:43+00:00,,,-0.0844288,-0.0064,-0.010547200000000001,-0.0008,0.7800192,0.0592,268.830553741804,280.46975990394446,279.48900577309956,-3.8,rm3100_calibrated,MANUAL,,,,,,-1.9499902500487498,9.000900090009,1500,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,62.3,0.936
2026-08-19T15:27:59.972744+00:00,47.69572850383334,9.194015516666667,2026-08-19T15:42:43+00:00,,,-0.0844288,-0.0064,0.0369376,0.0028,0.7273152,0.055200000000000006,270.5578508763683,280.46975990394446,277.38781818348,-5.48,rm3100_calibrated,MANUAL,,,,,,-1.9499902500487498,9.000900090009,1495,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,62.3,0.936
2026-08-19T15:28:00.083427+00:00,47.69572850383334,9.194015516666667,2026-08-19T15:42:43+00:00,,,-0.079152,-0.006,-0.026384,-0.002,0.7062336,0.0536,272.3365693472781,280.46975990394446,282.48573456982353,-6.04,rm3100_calibrated,MANUAL,,,,,,-1.9499902500487498,9.000900090009,1495,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,62.3,0.936
2026-08-19T15:28:00.194124+00:00,47.69572850383334,9.194015516666667,2026-08-19T15:42:43+00:00,,,-0.08970560000000001,-0.0068000000000000005,-0.0211072,-0.0016,0.6851520000000001,0.052000000000000005,275.80968330023177,282.04957956488545,283.7680601041678,-4.14,rm3100_calibrated,MANUAL,,,,,,-1.64999175004125,9.000900090009,1495,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,63.3,0.936
2026-08-19T15:28:00.303629+00:00,47.6957281725,9.194014001333333,,,,-0.0844288,-0.0064,-0.026368000000000003,-0.002,0.8011008000000001,0.0608,277.49364630038156,282.8922116555666,283.31831816122804,-2.57,rm3100_calibrated,MANUAL,,,,,,-1.9499902500487498,9.000900090009,1500,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,62.8,0.936
2026-08-19T15:28:00.416488+00:00,47.6957281725,9.194014001333333,2026-08-19T15:42:44+00:00,,,-0.08437760000000001,-0.0064,0.0949248,0.0072,0.7800192,0.0592,278.8491044999828,282.8922116555666,279.77401983429235,-1.34,rm3100_calibrated,MANUAL,,,,,,-1.9499902500487498,9.000900090009,1500,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,63.3,0.936
2026-08-19T15:28:00.528027+00:00,47.6957281725,9.194014001333333,2026-08-19T15:42:44+00:00,,,-0.0895968,-0.0068000000000000005,0.0948672,0.0072,0.843264,0.064,279.44571532416353,282.8922116555666,281.2024259653259,0.11,rm3100_calibrated,MANUAL,,,,,,-1.9499902500487498,9.000900090009,1495,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,64.2,0.936
2026-08-19T15:28:00.637298+00:00,47.6957281725,9.194014001333333,2026-08-19T15:42:44+00:00,,,-0.08965120000000001,-0.0068000000000000005,-0.031641600000000006,-0.0024000000000000002,0.7694784,0.0584,279.63691140288256,282.8922116555666,273.60629326120625,1.45,rm3100_calibrated,MANUAL,,,,,,-1.64999175004125,9.000900090009,1495,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,62.3,0.936
2026-08-19T15:28:00.748240+00:00,47.6957281725,9.194014001333333,2026-08-19T15:42:44+00:00,,,-0.08965120000000001,-0.0068000000000000005,0.0,0.0,0.7694784,0.0584,278.30586556793673,283.1850627636351,272.0928243830345,2.35,rm3100_calibrated,MANUAL,,,,,,-1.64999175004125,9.000900090009,1500,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,62.8,0.936
2026-08-19T15:28:00.858750+00:00,47.6957281725,9.194014001333333,2026-08-19T15:42:44+00:00,,,-0.0949824,-0.0072,-0.026368000000000003,-0.002,0.9428288,0.0716,277.40823827022996,283.1850627636351,275.3309149204588,3.69,rm3100_calibrated,MANUAL,,,,,,-1.9499902500487498,9.000900090009,1500,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,62.8,0.936
2026-08-19T15:28:00.969822+00:00,47.6957281725,9.194014001333333,2026-08-19T15:42:44+00:00,,,-0.0844288,-0.0064,-0.0316608,-0.0024000000000000002,0.7009632,0.0532,276.3987986845549,283.1850627636351,270.85658757144216,4.25,rm3100_calibrated,MANUAL,,,,,,-1.9499902500487498,9.000900090009,1500,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,63.3,0.936
2026-08-19T15:28:01.080465+00:00,47.6957281725,9.194014001333333,2026-08-19T15:42:44+00:00,,,-0.10547200000000001,-0.008,0.042188800000000005,0.0032,0.6904224,0.0524,275.3499925117187,283.1850627636351,267.77256876319524,4.48,rm3100_calibrated,MANUAL,,,,,,-1.9499902500487498,9.000900090009,1495,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,62.8,0.936
2026-08-19T15:28:01.189682+00:00,47.6957281725,9.194014001333333,2026-08-19T15:42:44+00:00,,,-0.08970560000000001,-0.0068000000000000005,-0.0105536,-0.0008,0.6798816,0.0516,273.8509721847663,283.1850627636351,265.5463826585879,5.26,rm3100_calibrated,MANUAL,,,,,,-1.64999175004125,9.000900090009,1495,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,63.3,0.936
2026-08-19T15:28:01.300805+00:00,47.695727931166665,9.1940144935,,,,-0.079152,-0.006,-0.0158304,-0.0012000000000000001,0.7958304,0.0604,270.8968895480393,280.50893165571006,261.4672810737185,5.37,rm3100_calibrated,MANUAL,,,,,,-1.9499902500487498,9.000900090009,1500,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,62.3,0.936
2026-08-19T15:28:01.411057+00:00,47.695727931166665,9.1940144935,2026-08-19T15:42:45+00:00,,,-0.08965120000000001,-0.0068000000000000005,0.005273600000000001,0.0004,0.7694784,0.0584,269.82857076574237,280.0165391342417,268.83645151791967,4.03,rm3100_calibrated,MANUAL,,,,,,-1.9499902500487498,9.000900090009,1500,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,63.3,0.936
2026-08-19T15:28:01.522613+00:00,47.695727931166665,9.1940144935,2026-08-19T15:42:45+00:00,,,-0.079152,-0.006,-0.026384,-0.002,0.7483968,0.056799999999999996,268.6972098139447,280.0165391342417,264.56378886123775,2.46,rm3100_calibrated,MANUAL,,,,,,-1.9499902500487498,9.000900090009,1495,1,,,,,,,,,,,,,,sail,False,False,20260819_172759,63.3,0.936
