ts_iso,gps_lat,gps_lon,gps_ts,awa_deg,heading,rotation_vector,geomag_rotation_vector,gyro_z_dps,heading_source,sys_temp_c,sys_volts_v
2026-08-04T06:46:01.463011+00:00,,,,,252.57046809255996,272.2844255247493,252.57046809255996,0.0,rm3100_calibrated,56.4,0.936
2026-08-04T06:46:01.582792+00:00,,,,,252.57046809255996,272.2844255247493,252.5592088074826,0.0,rm3100_calibrated,56.9,0.936
2026-08-04T06:46:01.693490+00:00,,,,,252.57046809255996,272.2844255247493,252.73254181052624,0.0,rm3100_calibrated,57.9,0.936
2026-08-04T06:46:01.803637+00:00,,,,,252.58176472791752,272.2844255247493,252.6156546339903,0.0,rm3100_calibrated,56.9,0.936
2026-08-04T06:46:01.912702+00:00,,,,,252.595352237538,272.2844255247493,252.6361147663993,0.0,rm3100_calibrated,56.9,0.936
2026-08-04T06:46:02.022074+00:00,,,,,252.60042783665108,272.2844255247493,252.55823261129495,0.0,rm3100_calibrated,56.9,0.936
2026-08-04T06:46:02.131071+00:00,47.69452867966667,9.192761199833331,,,252.60934956908815,272.2844255247493,252.78974816889175,0.0,rm3100_calibrated,57.4,0.936
2026-08-04T06:46:02.244108+00:00,47.69452867966667,9.192761199833331,2026-08-04T06:46:02+00:00,,252.62577236940592,272.2844255247493,252.6750407703589,0.0,rm3100_calibrated,56.9,0.936
2026-08-04T06:46:02.356242+00:00,47.69452867966667,9.192761199833331,2026-08-04T06:46:02+00:00,,252.63808946964423,272.2844255247493,252.63999410320025,0.0,rm3100_calibrated,56.9,0.936
2026-08-04T06:46:02.464571+00:00,47.69452867966667,9.192761199833331,2026-08-04T06:46:02+00:00,,252.6454939969171,272.2844255247493,252.61820263323165,0.0,rm3100_calibrated,56.9,0.936
2026-08-04T06:46:02.573525+00:00,47.69452867966667,9.192761199833331,2026-08-04T06:46:02+00:00,,252.67327633988987,272.2844255247493,252.77968656249237,0.0,rm3100_calibrated,57.4,0.936
